lyrics,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,explicit
"Oh conscience I'm guilty I'm guilty again  
Now I'm driving home slowly my spirit's so low  
I cheated on her again and why I'll never know  
I hope I don't look too guilty when she lets me in  
Oh conscience don't ever let me do that again  
Oh conscience I'm guilty and I must confess  
Why I kissed her I knew I love the other one best  
I've been out with an old flame who's heart's full of sin  
Oh conscience don't ever let me do that again  
Between right and the wrong the love and desire  
This game that I'm playing more dangers than fire  
I might talk in my sleep or be caught by her friend  
Oh conscience don't ever let me do that again  
Oh conscience I'm guilty

",0.871,0.583,0.419,0.0,-9.896,0.0319,116.316,0.749,False
"All for one and one for all  
You live, you give, you have a ball  
There's no need to live on an island  
'Cause everyone here respects your opinion  
It all adds up to, it's your strength we need  
So get behind and push, if you don't want to lead  
'Cause it's all for one and one for all  
You live, you give, you have a ball  
I don't know your future plans  
But divided I'm sure you will not stand  
I said, ?All that to say there's an easier way  
If it's love that we share then there's no debt to pay?  
'Cause we are all down here under the sky  
Won't you try? Won't you try?  
We're all down here  
You're not alone  
You've been pushing and pulling and shoving  
Since the day you were born so let's try  
All for one and one for all  
You live, you give, you have a ball  
And a smile will appear on your face  
'Cause suddenly, suddenly the world is a beautiful place  
'Cause it's all for one and one for all  
You live, you give, you have a ball  
All for one and one for all  
You live, you give, you have a ball  
...  

",0.504,0.39,0.435,0.02,-10.08,0.0355,96.921,0.164,False
"A rubber band is what I call your love for me  
'Cause it comes and goes and pins me like a trampoline  
But all this back and forth is freaky, it's confusing me  
Like a pencil trying to write and you're erasing me  
  
If I was a ruler I'd set you straight  
But your love is like a sharpener, it really grates  
'Cause once I'm trying to bounce, you pull me back  
And when I try to come to you, you give me slack  
  
Your love is pulling like a rubber band  
Your love is pulling like a rubber band  
  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
  
La, la, la, la, la, la, la, la, la, la, la, la, la, la  
  
A rubber band was an analogy  
You can even say it's a metaphor  
The tension between you and me  
I ain't gonna feel it if you let it go  
  
I can take a little bit and make it more  
A little bit of hate can make it war  
But a lot of love ain't enough  
And so, I don't really know how we find the cure  
  
Your love is pulling like a rubber band  
Your love is pulling like a rubber band  
  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
  
Paper clips, they couldn't even hold us together  
Paper clips, they couldn't even hold us together  
Paper clips, they couldn't even hold us together  
  
If we were gaffer tape maybe we could spend the summer  
You could say your piece, you could post it on a paper  
When your love hits, it sticks me like a stapler  
  
Your love is pulling like a rubber band  
Your love is pulling like a rubber band  
  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
  
Elastic love, everlastic love  
Ever lusting love, such a spastic love  
Elastic love, everlastic love  
Ever lusting love, such a spastic love

",0.00936,0.662,0.861,3.88e-06,-5.883,0.136,125.934,0.608,False
 oh no see you walking round like its a funeral not so serious girl why those feet cold we just getting started dont you tiptoe tiptoe waste time with a masterpiece dont waste time with a masterpiece you should be rolling with me you should be rolling with me youre a real life fantasy youre a real life fantasy but youre moving so carefully lets start living dangerously talk to me baby i m goin blind from this sweet sweet craving whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hopin well eat cake by the ocean walk for me baby ill be diddy youll be naomi whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hopin well eat cake by the ocean goddamn see you licking frosting from your own hands want another taste im begging yes maam im tired of all this candy on the dry land dry land oh waste time with a masterpiece dont waste time with a masterpiece you should be rolling with me you should be rolling with me ah youre a real life fantasy youre a real life fantasy but youre moving so carefully lets start living dangerously talk to me baby i m going blind from this sweet sweet craving whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hoping well eat cake by the ocean walk for me baby ill be diddy youll be naomi whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hoping well eat cake by the ocean ah ya ya ya ya i keep on hoping well eat cake by the ocean ah ya ya ya ya i keep on hoping well eat cake by the ocean youre fucking delicious talk to me girl talk to me baby i m going blind from this sweet sweet craving whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hoping well eat cake by the ocean walk for me baby ill be diddy youll be naomi whoa oh lets lose our minds and go fucking crazy ah ya ya ya ya i keep on hoping well eat cake by the ocean red velvet vanilla chocolate in my life funfetti im ready i need it every night red velvet vanilla chocolate in my life ah ya ya ya ya i keep on hoping well eat cake by the ocean,0.156,0.774,0.765,0.0,-5.439,0.0502,119.001,0.917,True
"You hold a life there in your hands  
You probably don't know  
Somehow your dreams became my plans  
Somewhere long ago  
Think about the things we've done and where we've been  
Your touch made me a king  
I don't want to live without your love again  
I'll do anything  
  
To make you see what I'm imagining  
To know the pleasure your smile can bring  
To keep the light from vanishing  
I'll do anything  
  
I fly this airplane upside down  
I walk out on the wing  
To see you watching from the ground  
I'll do anything  
When I see the light upon your upturned face  
I can hear the angels sing  
Don't ever let another take my place  
I'll do anything  
  
To make you see what I'm imagining  
To know the pleasure your smile can bring  
To keep the light from vanishing  
I'll do anything  
  
I make this world a place for you and me  
I make your happiness my responsibility  
To make this world the world you want to see  
I'll do anything  
  
When I see the light upon your upturned face  
I can hear the angels sing  
To see that no one ever takes my place  
I'll do anything  
  
To make you see what I'm imagining  
To know the pleasure your smile can bring  
To keep the light from vanishing  
I'll do anything

",0.314,0.561,0.427,0.000231,-11.921,0.0282,89.914,0.234,False
"I couldn't help but over hear your conversation  
When you told her that you owned her heart and soul  
You say you've got her wrapped around your finger  
But there's somthin' bout angels you should know  
  
She'll walk away one step at a time  
It'll take you by surprise  
You'll think it happened over night  
It'll be too late when you realize  
Angels don't fly  
They just walk away one step at a time  
  
Don't think that I'm tryin' to mind your business  
It's a full time job just tryin' to mind mine  
But I once had an angel just like her  
And if I'd treated her right  
She'd still be by my side  
  
She'll walk away one step at a time  
It'll take you by surprise  
You'll think it happened over night  
It'll be too late when you realize  
Angels don't fly  
They just walk away one step at a time  
  
It'll be too late when you realize angels don't fly  
They just walk away one step at a time

",0.384,0.543,0.465,1.86e-05,-7.589,0.0235,90.011,0.502,False
"Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk  
  
Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk  
  
Many a day has passed, the night has gone by  
But still I find the time to put that bump off in your eye  
Total chaos, for these players, thought we was absent  
We takin' another route to represent the Dungeon Family  
Like Great Day, me and my nigga decide to take the back way  
We stabbing every city then we headed to that bat cave  
A-T-L, Georgia, what we do for ya  
Bull doggin' hoes like them Georgetown Hoyas  
Boy you sounding silly, thank my Brougham ain't sittin' pretty  
Doing doughnuts round you suckas like then circles around titties  
Damn we the committee gone burn it down  
But us gone bust you in the mouth with the chorus now  
  
Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk  
  
Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk  
  
I met a gypsy and she hipped me to some life game  
To stimulate then activate the left and right brain  
Said baby boy you only funky as your last cut  
You focus on the past your ass'll be a has what  
that's one to live by or either that one to die to  
I try to just throw it at you determine your own adventure  
Andre, got to her station here's my destination  
She got off the bus, the conversation lingered in my head for hours  
Took a shower kinda sour cause my favorite group ain't coming with it  
But I'm with ya you cause you probably going through it anyway  
But anyhow when in doubt went on out and bought it  
Cause I thought it would be jamming but examine all the flawsky-wawsky  
Awfully, it's sad and it's costly, but that's all she wrote  
And I hope I never have to float in that boat  
Up shit creek it's weak is the last quote  
That I want to hear when I'm going down when all's said and done  
And we got a new joe in town  
When the record player get to skipping and slowing down  
All yawl can say is them niggas earned that crown but until then  
  
Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk  
  
Ah ha, hush that fuss  
Everybody move to the back of the bus  
Do you want to bump and slump with us  
We the type of people make the club get crunk

",0.105,0.792,0.701,0.0,-7.198,0.283,103.89,0.251,True
high time we made a stand and shook up the views of the common man and the love train rides from coast to coast d j s the man we love the most could you be could you be squeaky clean and smash any hope of democracy as the headline says youre free to choose theres egg on your face and mud on your shoes one of these days theyre gonna call it the blues yeah yeah i spy tears in their eyes they look to the skies for some kind of divine intervention food goes to waste so nice to eat so nice to taste politician granny with your high ideals have you no idea how the majority feels so without love and a promised land were fools to the rules of a government plan kick out the style bring back the jam sowing the seeds the birds and the bees my girlfriend and me in love feel the pain talk about it if youre a worried man then shout about it open hearts feel about it open minds think about it everyone read about it everyone scream about it everyone read about it read about it read it in the books in the crannies and the nooks there are books to read were sowing the seeds sowing the seeds sowing the seeds of love were sowing the seeds sowing the seeds of love sowing the seeds of love time to eat all your words swallow your pride open your eyes time to eat all your words swallow your pride open your eyes high time we made a stand and the love train rides from coast to coast every minute of every hour i love a sunflower love power love power sowing the seeds an end to need and the politics of greed with love sowing the seeds an end to need and the politics of greed with love ,0.0114,0.208,0.7929999999999999,5.67e-05,-7.232,0.0513,174.472,0.708,False
"On a hill, inside a house in Covewell Reach  
Stands a man who's feeling very tired  
Looking at a song he wrote some time ago  
Could have made it big inside a Broadway show  
  
Every day I go away and find ideas  
Think I'll climb on top of somewhere high  
Couldn't I write a song about a man who's dead?  
Didn't really know if he was off his head  
  
Ev'rybody knows, that's the way it goes  
Too bad for Gilbert Green  
We can tell the world that he was right  
  
Sitting in his attic on a sunny day  
Mending fifty goblets that are worn  
Humming to himself a song of yesteryear  
His hearing wasn't good but his eyes were clear  
  
Ev'rybody knows, that's the way it goes  
Too bad for Gilbert Green  
We can tell the world that he was right  
  
Now the house is burnt, along with Gilbert Green  
Sad to see his sisters stand and cry  
And in the basement lies a song that wasn't seen  
Tells the tale of laughing men and yellow beans  
  
Ev'rybody knows, that's the way it goes  
Too bad for Gilbert Green  
Now we can tell the world that he was right

",0.609,0.482,0.269,0.0001,-11.262,0.0303,101.778,0.272,False
"[Verse 1]  
Tell 'em this boy wasn't meant for lovin'  
Tell 'em this heart doesn't stay to one  
I'll be the same, never changed for nothin'  
It's all I know, never learned much more  
  
[Pre-Chorus]  
Mama called me destructive, oh yeah  
Said it'd ruin me one day, yeah  
Cause every woman that loved me, oh yeah  
I seemed to push them away  
  
[Chorus]  
That's real life, oh oh oh  
Real life, ooh  
Mama talking that real life, oh oh oh  
That real life, real life, real life, real life  
  
[Verse 2]  
I know you don't really understand it  
I'm not allowed to regret my choice  
I heard that love is a risk worth taking  
I wouldn't know, never been that boy  
  
[Pre-Chorus]  
Mama called me destructive, oh yeah  
Said it ruined me one day, yeah  
Cause every woman that loved me, oh yeah  
I seemed to push them away  
  
[Chorus]  
That's real life, oh oh oh  
Real life, ooh  
Mama talking that real life, oh oh oh  
That real life, real life, real life, real life  
  
[Bridge]  
Heaven only lets a few in  
It's too late for me to choose it  
Don't waste precious tears on me, I'm not worth the misery  
I'm better off when I'm alone  
  
[Chorus]  
That's real life, oh oh oh  
Real life, ooh  
Mama talking that real life, oh oh oh  
That real life, real life, real life, real life  
That's real life, oh oh oh  
Real life, ooh  
Mama talking that real life, oh oh oh  
That real life, real life, real life, real life

",0.439,0.581,0.652,0.0,-5.039,0.0496,90.634,0.358,True
